How many times specializaion failed for a symbol during Agda build, without -foptimise-heavily
("checkModality'",1)
("checkModalityArgs",1)
("checkPatternLinearity",1)
("checkSortOfSplitVar",1)
("classify",1)
("compareFavorites",1)
("compareLevel",1)
("compareWithFavorites",1)
("completeIter",1)
("completionStep",1)
("computeNodes",1)
("concatListT",1)
("concatMapM",1)
("conidView'",1)
("contains",1)
("count",1)
("coveringRangeProperty",1)
("createMetaInfo'",1)
("currentModuleNameHash",1)
("currentTopLevelModule",1)
("dagInvariant",1)
("deepEtaExpandPoly",1)
("defaultAddLetBinding'",1)
("defaultGetConstInfo",1)
("defaultLevelsToZero",1)
("defaultOpenLevelsToZero",1)
("defaultPageGen",1)
("discrete",1)
("dlist-1.0-9DO2KPbnPyW7Sgb6uyyuAa:Data.DList.Internal.$fShowDList",1)
("dlist-1.0-9DO2KPbnPyW7Sgb6uyyuAa:Data.DList.Internal.$fShowDList_$cshowsPrec",1)
("dropWhileM",1)
("edgesFrom",1)
("edgesTo",1)
("editDistanceSpec",1)
("eligibleForProjectionLike",1)
("elimView",1)
("equalTerm",1)
("equalTermOnFace",1)
("etaContractRecord",1)
("etaExpandRecord'_",1)
("fiber",1)
("filterNodesKeepingEdges",1)
("fixitiesAndPolarities",1)
("flattenTel",1)
("forceNotFree",1)
("freezeMetas",1)
("fromDistinctAscendingListsPrecondition",1)
("fromEdges",1)
("fromIndexList",1)
("fromList",1)
("fromListPrecondition",1)
("fsep",1)
("fuseIntervals",1)
("fwords",1)
("gaussJordanFloydWarshallMcNaughtonYamada",1)
("gaussJordanFloydWarshallMcNaughtonYamadaReference",1)
("generateLaTeXIO",1)
("genericElemIndex",1)
("getAllConstraints",1)
("getAllPatternSyns",1)
("getAllUnsolvedWarnings",1)
("getBuiltinName'",1)
("getCachedAgdaLibFile",1)
("getCachedProjectConfig",1)
("getClausesAsRewriteRules",1)
("getConHead",1)
("getConstructorData",1)
("getConstructorInfo'",1)
("getCurrentPath",1)
("getDatatypeArgs",1)
("getDefType",1)
("getIncludeDirs",1)
("getInteractionMetas",1)
("getInteractionRange",1)
("getInteractionScope",1)
("getLeftoverPatterns",1)
("getLetBindings",1)
("getMetaContextArgs",1)
("getMetaType",1)
("getNameOfConstrained",1)
("getNumberOfParameters",1)
("getPolarity'",1)
("getPrettyVisitedModules",1)
("getPrimitiveName'",1)
("getQNameFromTerm",1)
("getUniqueMetasRanges",1)
("getUnsolvedMetas",1)
("getUserWarnings",1)
("ghc-prim:GHC.Classes.$fOrd(,)_$c>=",1)
("ghc-prim:GHC.Classes.$fOrd(,)_$ccompare",1)
("ghc-prim:GHC.Classes.$fOrd(,,)_$ccompare",1)
("glamN",1)
("hasAccessibleDef",1)
("hasLeftAdjoint",1)
("hasQuantity0",1)
("hashable-1.4.2.0-JpceLkdcZ7ZDqNNSVzcDJ:Data.Hashable.Class.$fHashableList_$cp1Hashable",1)
("haskeline-0.8.2.1:System.Console.Haskeline.InputT.$fMonadIOInputT",1)
("haskeline-0.8.2.1:System.Console.Haskeline.InputT.$fMonadInputT",1)
("hcomp",1)
("hypGraph",1)
("idViewAsPath",1)
("ifNotPiOrPathType",1)
("ifPiB",1)
("inConcreteOrAbstractMode",1)
("inferFunSort",1)
("insert",1)
("insertImplicitBindersT1",1)
("insertLookupWithKey",1)
("insertPrecondition",1)
("interleaveRanges",1)
("intersectWith",1)
("intervalInvariant",1)
("invLookup",1)
("invariant",1)
("isAssociative",1)
("isBinderUsed",1)
("isBlocked",1)
("isBounded",1)
("isCommutative",1)
("isEtaCon",1)
("isFrozen",1)
("isGaloisConnection",1)
("isIdentity",1)
("isInstantiatedMeta'",1)
("isInterval",1)
("isLeftDistributive",1)
("isMonotoneComposition",1)
("isPath",1)
("isPathCons",1)
("isProjectionButNotCoinductive",1)
("isRecord",1)
("isRemoteMeta",1)
("isRightDistributive",1)
("isSingletonRecord'",1)
("isSizeProblem",1)
("isTrivialPattern",1)
("isZero",1)
("iterateSolver",1)
("lIndex",1)
("leqSort",1)
("leqType",1)
("levelView'",1)
("literal",1)
("longestPaths",1)
("lookupMetaModality",1)
("lookupPath",1)
("map",1)
("mapMaybeM",1)
("mapScopeM_",1)
("mapWithKey",1)
("mapWithKeyPrecondition",1)
("match",1)
("matchCopatterns",1)
("matrix",1)
("measureTime",1)
("memo",1)
("memoRec",1)
("mkCompLazy",1)
("modifyArgOccurrences",1)
("nameSuffix",1)
("namesAndMetasIn",1)
("nest",1)
("newInstanceMeta",1)
("newMetaArg",1)
("newNamedValueMeta",1)
("newTelMeta",1)
("noCheckCover",1)
("nubFavouriteOn",1)
("onBlockingMetasM",1)
("opP",1)
("orEitherM",1)
("parallelS",1)
("parse",1)
("parseFile",1)
("pathTelescope",1)
("prepareCommonAssets",1)
("prepareCommonDestinationAssets",1)
("prettyAssign",1)
("prettyDuplicateFields",1)
("prettyInterestingConstraints",1)
("prettyMap_",1)
("prettyR",1)
("prettyRangeConstraint",1)
("prettyTooManyFields",1)
("prettyWarningName",1)
("primBody",1)
("pwords",1)
("random-1.2.1.1-vzSnaOmaBQ4bTl4bGMjtH:System.Random.Internal.$fStatefulGenStateGenMm",1)
("random-1.2.1.1-vzSnaOmaBQ4bTl4bGMjtH:System.Random.Internal.$w$suniformIntegralM",1)
("readMaybe",1)
("reallyFree",1)
("recordRHSToCopatterns",1)
("reduceHead",1)
("regex-base-0.94.0.2-2THHg9sUqe91L76jYoGSv6:Text.Regex.Base.Context.$fRegexContextabAllTextSubmatches0_$s$cmatchM",1)
("reifyDisplayFormP",1)
("removeNodes",1)
("renderDecoratedM",1)
("renderError",1)
("runSTT",1)
("sameDef",1)
("saturateOpaqueBlocks",1)
("sccDAG'",1)
("sequenceListT",1)
("simplify1",1)
("sizeSuc",1)
("sizeSucName",1)
("solvingProblems",1)
("splittableCohesion",1)
("storeCachedAgdaLibFile",1)
("storeCachedProjectConfig",1)
("stripPrefix",1)
("stripReversedSuffix",1)
("takeAwakeConstraint'",1)
("teleDoms",1)
("toAbstractWithoutImplicit",1)
("toCType",1)
("toListProperty",1)
("toSparseRows",1)
("transpSys",1)
("traverse'",1)
("tryRecordType",1)
("tryResolveName",1)
("tryStrengthen",1)
("typeError'_",1)
("union",1)
("unionPrecondition",1)
("unionWith",1)
("unions",1)
("uniqOn",1)
("unsafePragma",1)
("updateProblemRest",1)
("useNamesFromProblemEqs",1)
("walkSatisfying",1)
("withFrozenMetas",1)
